num_of_process,activation,sample_fraction,batch_size,learning_rate,hidden_dim,epoch,loss
3,relu,0.3,1024,0.001,128,1,0.859052670977977
3,relu,0.3,1024,0.001,128,2,0.871043551464132
3,relu,0.3,1024,0.001,128,3,0.8374104688573359
3,relu,0.3,1024,0.001,128,4,0.8859890385208383
3,relu,0.3,1024,0.001,128,5,0.9049102223186504
3,relu,0.3,1024,0.001,128,6,0.8890669995002719
3,relu,0.3,1024,0.001,128,7,0.8964372436919702
3,relu,0.3,1024,0.001,128,8,0.8812000778958965
3,relu,0.3,1024,0.01,32,0,0.19634693541167766
3,relu,0.3,1024,0.01,32,1,0.22305861079091624
3,relu,0.3,1024,0.01,32,2,0.1933427891585974
3,relu,0.3,1024,0.01,32,3,0.1869801328833297
3,relu,0.3,1024,0.01,32,4,0.19152012811369412
3,relu,0.3,1024,0.01,32,5,0.20322040515065173
3,relu,0.3,1024,0.01,32,6,0.2069403099545367
3,relu,0.3,1024,0.01,32,7,0.18985534246820135
3,relu,0.3,1024,0.01,32,8,0.19686674624558242
3,relu,0.3,1024,0.01,64,0,0.18673064059972402
3,relu,0.3,1024,0.01,64,1,0.18237065421493592
3,relu,0.3,1024,0.01,64,2,0.1794066044363286
3,relu,0.3,1024,0.01,64,3,0.17807020674486107
3,relu,0.3,1024,0.01,64,4,0.17983400134156938
3,relu,0.3,1024,0.01,64,5,0.18062785495205388
3,relu,0.3,1024,0.01,64,6,0.1817676592709796
3,relu,0.3,1024,0.01,64,7,0.17669094559257528
3,relu,0.3,1024,0.01,128,0,0.16823337078434564
3,relu,0.3,1024,0.01,128,1,0.16331716479884753
3,relu,0.3,1024,0.01,128,2,0.16572630256312207
3,relu,0.3,1024,0.01,128,3,0.15996983105054852
3,relu,0.3,1024,0.01,128,4,0.16957557494548195
3,relu,0.3,1024,0.01,128,5,0.1728425319152175
3,relu,0.3,1024,0.01,128,6,0.16966718119259036
3,relu,0.3,1024,0.01,128,7,0.1710634916665277
3,relu,0.3,1024,0.01,128,8,0.16802137608924128
3,relu,0.3,1024,0.1,32,0,0.0683622286258402
3,relu,0.3,1024,0.1,32,1,0.07155874797125406
3,relu,0.3,1024,0.1,32,2,0.06826602874794974
3,relu,0.3,1024,0.1,32,3,0.06747193961510224
3,relu,0.3,1024,0.1,32,4,0.06798588988498365
3,relu,0.3,1024,0.1,32,5,0.06907577694647753
3,relu,0.3,1024,0.1,64,0,0.06714047309418349
3,relu,0.3,1024,0.1,64,1,0.06688382600726507
3,relu,0.3,1024,0.1,64,2,0.0663978066789461
3,relu,0.3,1024,0.1,64,3,0.06632708375463203
3,relu,0.3,1024,0.1,64,4,0.06651795774353421
3,relu,0.3,1024,0.1,64,5,0.06650079595994195
3,relu,0.3,1024,0.1,128,0,0.06507649957673166
3,relu,0.3,1024,0.1,128,1,0.06460162748337726
3,relu,0.3,1024,0.1,128,2,0.06490909905417105
3,relu,0.3,1024,0.1,128,3,0.06406446239061168
3,relu,0.3,1024,0.1,128,4,0.06526810638920048
3,relu,0.3,1024,0.1,128,5,0.06565657735572535
